"Country"	"AgLandShare"	"AgGdpShare"	"ArableLandShare"	"GdpPerCapita"	"GiniCoef"	"HCI"	"LifeExp"	"PopYoung"	"PopMiddle"	"PopOld"	"PopFemale"	"PopMale"	"PopRural"	"PopUrban"	"Year"	"CalTotal"	"CalVegetal"	"CalAnimal"	"PropCalVegetal"	"PropCalAnimal"
"Afghanistan"	58.8074758904068	26.8206001075115	12.0034343713107	2076.13838003855	NA	0.400284141302109	62.575	43.8079121491391	53.7751348360726	2.41695301478831	49.4709437976734	50.5290587682563	73.974	26.026	2018	2270	2081	189	0.916740088105727	0.0832599118942731
"Albania"	42.538503649635	19.2644407973724	21.8832116788321	14033.9757184159	NA	0.634250938892365	76.989	16.4715191611974	67.7063681600196	15.822112678783	49.9880530854607	50.0119469145393	37.888	62.112	2018	3296	2296	1001	0.696601941747573	0.30370145631068
"Algeria"	17.3649641165853	14.1347925891274	3.15106344476582	11438.6911555723	NA	0.534556448459625	74.453	30.647082668821	63.3354472530466	6.01747007813233	49.0631751611089	50.9368248388911	26.267	73.733	2018	3383	3000	383	0.886786875554242	0.113213124445758
"Angola"	45.6825940482875	9.05067174603925	3.93037619314992	6362.63607638387	NA	0.362405389547348	62.261	45.3066016809735	52.1034231104574	2.58997520856912	50.5885579143489	49.4114420856511	33.175	66.825	2018	2441	2232	210	0.914379352724293	0.08603031544449
"Antigua and Barbuda"	20.4545454545455	2.2141976776872	9.09090909090909	19276.5688116667	NA	0.595703899860382	78.841	19.082383665717	71.1128377795044	9.80477855477855	52.2619355952689	47.7380644047311	75.567	24.433	2018	2476	1734	742	0.70032310177706	0.29967689822294
"Argentina"	39.6032286082823	6.12846695022316	11.9241710606609	20763.2885528852	42.3	0.602144718170166	75.892	23.6563980592251	64.6161477991667	11.7274541416082	50.4907514942702	49.5092485057298	7.889	92.111	2018	3307	2262	1045	0.684003628666465	0.315996371333535
"Armenia"	58.8689848963822	11.3498051554549	15.595363540569	14089.2393754604	25.2	0.578998804092407	72.173	20.3433230260031	67.2487804339059	12.407896540091	54.893520406272	45.1065152366261	36.687	63.313	2018	3175	2322	853	0.731338582677165	0.268661417322835
"Australia"	46.2524798427461	2.01210323364172	3.98386899670048	53067.1479599571	NA	0.770239531993866	83.2	18.5417282291673	65.2246788528912	16.2335929179415	50.3771496207779	49.6228464836318	13.759	86.241	2018	3395	2295	1101	0.6759941089838	0.324300441826215
"Austria"	32.0741638390693	1.08551938880935	16.0092098885119	56994.441342388	NA	0.746739745140076	81.1926829268293	14.4032175479921	66.4473526896778	19.1494297623302	50.7974773055051	49.2025226944949	41.252	58.748	2018	3699	2506	1194	0.677480400108137	0.322789943227899
"Azerbaijan"	57.8382498850519	6.7389474235341	25.2196113544515	14478.5244519377	NA	0.577767550945282	66.868	24.2241066583594	69.3043797680709	6.47151357356977	50.629993278529	49.370006721471	43.603	56.397	2018	3256	2655	600	0.81541769041769	0.184275184275184
"Bahrain"	10.9554140127389	0.31287419627649	2.03821656050955	50468.2538003506	NA	0.652472019195557	79.174	20.298970739826	76.5039063425358	3.1971229176382	37.702246206181	62.297753793819	10.494	89.506	2018	NA	NA	NA	NA	NA
"Bangladesh"	76.0620726741953	11.9996864817656	61.4580932626565	5897.58894780473	NA	0.46403643488884	71.968	26.9821786730329	67.3848587426339	5.6329625843332	50.3863079836406	49.6136914190626	61.823	38.177	2018	2612	2484	129	0.950995405819296	0.0493874425727412
"Belarus"	40.7971228692482	7.07716352415493	27.8845206424278	20278.4739462373	24.4	0.700078189373016	74.2268292682927	16.8397311511557	66.6075394079797	16.5527294408646	53.8599339405049	46.1400660594951	20.517	79.483	2018	3264	2437	827	0.746629901960784	0.253370098039216
"Belgium"	45.066357331572	0.75074000769421	28.5626354029062	54197.3250418933	NA	0.76041966676712	80.7951219512195	16.7934968825779	63.9988837297645	19.2076193876575	50.6365360785081	49.3634639214919	1.92100000000001	98.079	2018	3774	2611	1163	0.691838897721251	0.308161102278749
"Benin"	35.0301525363604	27.1090177212232	24.8315005321036	3360.98741640516	NA	0.400290727615356	60.088	42.712662844457	54.1984761201801	3.08886103536286	49.9271184817232	50.0728815182768	51.585	48.415	2018	2755	2634	120	0.956079854809437	0.043557168784029
"Bhutan"	13.4504457262716	19.1516898551579	2.46460409019402	11124.6671314508	NA	0.475297033786774	71.609	23.5262897634452	70.4416535276102	6.03205670894466	47.0027417262779	52.9973877225549	57.684	42.316	2018	NA	NA	NA	NA	NA
"Bosnia and Herzegovina"	43.28125	6.08448546092261	19.82421875	15642.8045081392	NA	0.57968407869339	76.225	14.9240411251481	67.3330957695822	17.7428631052696	50.7940406345575	49.2059593654425	50.98	49.02	2018	3318	2701	617	0.814044605183846	0.185955394816154
"Botswana"	45.63372328975	2.21254048644752	0.458772254865633	14287.5105895124	NA	0.414028495550156	65.647	33.1708818953174	63.2807584976763	3.54835960700628	50.6476982031902	49.3523017968098	29.123	70.877	2018	2532	2134	397	0.842812006319115	0.156793048973144
"Brazil"	28.3410903622098	5.89324626563148	6.67158004053533	14789.8785635061	48.9	0.551497936248779	74.009	20.8347709462045	69.8744739258577	9.29075512793776	50.8531400244162	49.1468595065325	12.927	87.073	2018	3288	2413	876	0.733880778588808	0.266423357664234
"Bulgaria"	46.4904200442152	3.48847693898	32.1665438467207	25293.6906558807	NA	0.613898158073425	73.6073170731707	14.0190362054997	63.7158377398358	22.2651260546645	51.4945677676803	48.5054179039786	24.314	75.686	2018	2872	2166	706	0.754178272980501	0.245821727019499
"Burkina Faso"	44.3823099415205	18.3980789270946	21.9298245614035	2208.39822946104	NA	0.383691936731339	59.731	44.4375212392763	53.0010650187389	2.56141374198483	50.1984469738962	49.8015530261038	69.393	30.607	2018	2749	2597	152	0.94470716624227	0.0552928337577301
"Burundi"	79.1666666666667	28.6249500000001	46.7289719626168	750.313062148695	NA	0.386170625686646	61.566	46.7202796936702	50.812998433376	2.46672187295383	50.3560776735162	49.6439141433297	86.292	13.708	2018	1776	1738	38	0.978603603603604	0.0213963963963964
