"age"	"kids06"	"kids714"	"kids1520"	"hh_inc"	"organic_tastes_better"	"organic_buyer"	"pay_more_organic"	"organic_salience"	"capital"	"urban"	"rural"	"edu_long"	"edu_medium"	"edu_short"	"female"	"org_vol_share"
"1"	78	0	0	0	6	1	1	1	1	1	0	0	1	0	0	1	0.134106006281442
"2"	86	0	0	0	4	0	0	0	1	0	1	0	0	1	0	1	0.254931714719272
"3"	73	0	0	0	2	0	0	0	0	1	0	0	0	1	0	1	0.0612009237875289
"4"	71	0	0	0	7	0	0	0	0	0	0	1	0	1	0	1	0.0252631578947368
"5"	83	0	0	0	7	1	1	1	1	0	1	0	0	0	1	0	0.10091369923024
"6"	87	0	0	0	4	0	1	1	1	1	0	0	0	0	1	1	2.18179283423951
"7"	83	0	0	0	4	1	0	1	0	0	1	0	0	1	0	1	0.078196872125115
"8"	79	0	0	0	10	0	0	0	0	1	0	0	1	0	0	1	0.0411867364746946
"9"	74	0	0	0	6	0	0	0	1	1	0	0	0	1	0	1	0.131795716639209
"10"	67	0	0	0	7	0	0	0	0	1	0	0	1	0	0	1	0.0276258883152019
"11"	73	0	0	0	9	0	1	1	0	1	0	0	0	0	0	1	0
"12"	75	0	0	0	6	0	0	1	1	1	0	0	0	1	0	1	0.78046511627907
"13"	66	0	0	0	6	0	0	0	0	0	1	0	0	1	0	1	0.116414435389988
"14"	60	0	0	0	9	0	0	0	0	1	0	0	1	0	0	0	0.0993002798880448
"15"	81	0	0	0	3	1	1	1	1	1	0	0	0	0	1	1	0.688
"16"	74	0	0	0	3	0	0	0	0	1	0	0	0	0	1	1	0.358333333333333
"17"	65	0	0	0	7	0	0	0	0	1	0	0	1	0	0	1	0.0663683818046234
"18"	72	0	0	0	3	0	0	0	0	1	0	0	0	0	0	1	0.0385703265620982
"19"	78	0	0	0	6	1	1	0	1	1	0	0	0	0	1	1	0.121432399839207
"20"	62	0	0	0	7	0	0	0	0	1	0	0	1	0	0	1	0
"21"	68	0	0	0	8	0	1	0	1	1	0	0	0	1	0	1	0.107272727272727
"22"	94	0	0	0	2	1	1	0	0	1	0	0	0	0	1	1	0.368809272918862
"23"	80	0	0	0	5	0	1	1	1	1	0	0	0	0	1	1	0.0623648761017795
"24"	70	0	0	0	5	1	1	1	1	1	0	0	0	0	1	0	3.16020352714519
"25"	71	0	0	0	11	1	1	1	1	0	0	1	1	0	0	0	0
"26"	62	0	0	0	5	1	1	1	0	1	0	0	0	1	0	1	1.12851733610513
"27"	66	0	0	0	8	1	1	1	1	1	0	0	1	0	0	1	0.765314685314685
"28"	65	0	0	0	4	0	0	0	0	1	0	0	0	0	1	1	0.0875072244336451
"29"	55	0	0	0	6	0	0	0	0	0	1	0	0	0	1	1	0.00972972972972973
"30"	63	0	0	0	8	0	1	0	1	0	1	0	0	0	1	1	0.245231607629428
"31"	78	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0.0257466529351184
"32"	58	0	0	0	12	0	1	1	1	0	1	0	0	1	0	1	0.111920722821335
"33"	64	0	0	0	12	0	0	0	0	0	1	0	0	1	0	1	0.0113752184041934
"34"	81	0	0	0	6	0	0	0	0	0	1	0	0	0	0	1	0.323063116960814
"35"	79	0	0	0	7	0	0	0	0	1	0	0	0	0	1	0	0.0574692626519452
"36"	90	0	0	0	3	0	0	0	0	0	1	0	0	0	1	1	0.978260869565217
